epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3763.48,0.5765,1.00901,0.8476,0.91944,0.11991,0.39348,0.11106,0.10381,0.11991,0.39348,0.11106,0.09014,0.38544,0.98212,4.44455,0.90162,0.003169,0.003169,0.003169
71,3816.79,0.57297,1.00908,0.84511,0.91663,0.11965,0.39636,0.11309,0.10502,0.11965,0.39636,0.11309,0.09177,0.38643,0.98174,4.42902,0.90228,0.00307,0.00307,0.00307
72,3870.11,0.575,1.00923,0.85126,0.921,0.11994,0.39619,0.1088,0.10202,0.11994,0.39619,0.1088,0.08885,0.37831,0.98096,4.45762,0.90017,0.002971,0.002971,0.002971
73,3923.74,0.5684,0.99761,0.83621,0.91708,0.11985,0.38883,0.10732,0.10146,0.11985,0.38883,0.10732,0.08772,0.37591,0.98024,4.4748,0.90035,0.002872,0.002872,0.002872
74,3977.5,0.5674,0.9943,0.83429,0.91718,0.11661,0.40386,0.10831,0.10163,0.11661,0.40386,0.10831,0.08759,0.37883,0.98067,4.53406,0.90071,0.002773,0.002773,0.002773
75,4031.49,0.56631,1.00517,0.83721,0.91799,0.11749,0.39029,0.10791,0.10206,0.11749,0.39029,0.10791,0.08747,0.37525,0.97661,4.53637,0.90011,0.002674,0.002674,0.002674
76,4085.4,0.56124,0.99428,0.82352,0.91644,0.11707,0.39503,0.10496,0.09967,0.11707,0.39503,0.10496,0.08559,0.37112,0.97213,4.52456,0.89857,0.002575,0.002575,0.002575
77,4139.06,0.56111,0.99551,0.83094,0.91717,0.11626,0.40243,0.1163,0.11124,0.11626,0.40243,0.1163,0.09521,0.36738,0.9726,4.50907,0.89722,0.002476,0.002476,0.002476
78,4193.12,0.55867,0.99374,0.82948,0.91451,0.11547,0.40968,0.11631,0.11121,0.11547,0.40968,0.11631,0.09516,0.3647,0.9713,4.49512,0.89602,0.002377,0.002377,0.002377
79,4246.48,0.55803,0.99262,0.81706,0.91624,0.11521,0.40517,0.11946,0.11386,0.11521,0.40517,0.11946,0.09777,0.36196,0.97045,4.51189,0.89485,0.002278,0.002278,0.002278
80,4300.12,0.55111,0.98175,0.81427,0.91253,0.11559,0.4041,0.1088,0.10327,0.11559,0.4041,0.1088,0.08776,0.35926,0.96939,4.51959,0.89392,0.002179,0.002179,0.002179
81,4353.69,0.55276,0.9882,0.81756,0.91372,0.11548,0.40593,0.10975,0.10425,0.11548,0.40593,0.10975,0.08868,0.35571,0.96679,4.51944,0.89311,0.00208,0.00208,0.00208
82,4407.1,0.55121,0.99004,0.81119,0.91615,0.11462,0.40696,0.10829,0.10307,0.11462,0.40696,0.10829,0.08784,0.35536,0.96751,4.52329,0.89292,0.001981,0.001981,0.001981
83,4460.48,0.54874,0.98771,0.81275,0.91383,0.11507,0.40678,0.11125,0.10578,0.11507,0.40678,0.11125,0.08997,0.35707,0.96857,4.52735,0.89343,0.001882,0.001882,0.001882
84,4513.9,0.54911,0.98107,0.80723,0.9151,0.11532,0.40631,0.11313,0.10752,0.11532,0.40631,0.11313,0.09164,0.35797,0.96955,4.54061,0.89356,0.001783,0.001783,0.001783
85,4567.27,0.54492,0.97541,0.80732,0.91397,0.11553,0.3999,0.12418,0.11882,0.11553,0.3999,0.12418,0.10169,0.35741,0.96781,4.54736,0.89344,0.001684,0.001684,0.001684
86,4620.6,0.54504,0.97573,0.8044,0.91411,0.1154,0.3938,0.11922,0.11445,0.1154,0.3938,0.11922,0.09914,0.35779,0.96815,4.55013,0.89337,0.001585,0.001585,0.001585
87,4674.61,0.53713,0.96826,0.79598,0.90967,0.11528,0.40098,0.11993,0.11504,0.11528,0.40098,0.11993,0.0996,0.35867,0.96894,4.56639,0.89319,0.001486,0.001486,0.001486
88,4728.17,0.54032,0.97463,0.79298,0.91184,0.11536,0.40626,0.12103,0.1161,0.11536,0.40626,0.12103,0.10038,0.36015,0.96942,4.58397,0.89335,0.001387,0.001387,0.001387
89,4781.92,0.5368,0.97241,0.79008,0.91296,0.11489,0.40476,0.12071,0.11577,0.11489,0.40476,0.12071,0.10007,0.36058,0.97056,4.59931,0.89324,0.001288,0.001288,0.001288
90,4835.68,0.53054,0.96589,0.78804,0.90895,0.06385,0.4677,0.12231,0.11735,0.06385,0.4677,0.12231,0.10137,0.3605,0.97111,4.60674,0.89315,0.001189,0.001189,0.001189
91,4885.95,0.49402,0.96439,0.72837,0.90877,0.06907,0.4659,0.12578,0.12081,0.06907,0.4659,0.12578,0.10414,0.36055,0.97032,4.59757,0.89296,0.00109,0.00109,0.00109
92,4935.06,0.48047,0.95394,0.70586,0.90703,0.06807,0.46605,0.12603,0.12099,0.06807,0.46605,0.12603,0.10804,0.36015,0.96982,4.6043,0.89277,0.000991,0.000991,0.000991
93,4983.55,0.46763,0.94727,0.69698,0.89737,0.06719,0.46605,0.12509,0.12017,0.06719,0.46605,0.12509,0.10755,0.36021,0.96852,4.6167,0.89251,0.000892,0.000892,0.000892
94,5032.37,0.46261,0.94119,0.69235,0.89805,0.06693,0.46531,0.12458,0.11966,0.06693,0.46531,0.12458,0.10621,0.35918,0.96707,4.63232,0.89217,0.000793,0.000793,0.000793
95,5081.12,0.4586,0.93848,0.68088,0.89839,0.0672,0.46531,0.12298,0.11831,0.0672,0.46531,0.12298,0.10491,0.35876,0.96681,4.65091,0.89205,0.000694,0.000694,0.000694
96,5130.02,0.45305,0.93808,0.68162,0.89282,0.06728,0.46531,0.12439,0.11949,0.06728,0.46531,0.12439,0.1061,0.3587,0.96609,4.65692,0.89208,0.000595,0.000595,0.000595
97,5179.01,0.44904,0.93341,0.67509,0.8928,0.06766,0.46512,0.12395,0.11912,0.06766,0.46512,0.12395,0.10585,0.35838,0.96512,4.6641,0.89197,0.000496,0.000496,0.000496
98,5228.27,0.44891,0.93606,0.66614,0.8951,0.06777,0.46381,0.11267,0.10851,0.06777,0.46381,0.11267,0.09439,0.35864,0.96442,4.67981,0.89197,0.000397,0.000397,0.000397
99,5278.08,0.4428,0.92742,0.66174,0.88803,0.06787,0.464,0.1131,0.10887,0.06787,0.464,0.1131,0.09478,0.35919,0.96383,4.69137,0.89211,0.000298,0.000298,0.000298
100,5327.2,0.44212,0.92745,0.65947,0.89219,0.06778,0.464,0.1137,0.10958,0.06778,0.464,0.1137,0.09541,0.35893,0.9634,4.701,0.89197,0.000199,0.000199,0.000199
